jurisdiction,issuing_body,source_collection,document_title,document_type,file_format,page_count,source_url,retrieval_date,sha256,notes,license_tier,license_name,license_url,attribution_required,confidence_level,caveats,needs_legal_review,applies_per_doc_review
Australia,Australian Prudential Regulation Authority (APRA),APRA,141121-RIS-RFCs,Regulation Impact Statement,PDF,21,,2026-05-24,74ae1e75a88e304520d96f1844bd7feb748c99ebe8291ddcb9af781fe0882979,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,150422-RIS-APS330-FINAL 0,Regulation Impact Statement,PDF,33,,2026-05-24,2b514fc04f3986df2838388c7841036e252e0a857a2618437944ec4bd4c61f5f,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,160309-RIS-RCDFs-FINAL,Regulation Impact Statement,PDF,29,,2026-05-24,f38180b00d30ac23281665d09b83e9b9961fc5ba91088baf4ba591e20b4af8e8,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,161011-APRA-RIS-margining-risk-mitigation-final-assessment-second-pass,Regulation Impact Statement,PDF,23,,2026-05-24,9a96d4d1812f257ad4ad31a458cc9ad58f3d25e1980dcb27ce9678e0195db4b7,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Basel-II-Enhancements-RIS-May-2011,Regulation Impact Statement,PDF,16,,2026-05-24,f7803fb0f472e356ac8a9cc26355f97a677ec9204f5db6ded0421773b9e8f20f,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Basel-III-Disclosure-RIS,Regulation Impact Statement,PDF,13,,2026-05-24,131b165b718d50062d598599b5f6be388a349cbf513b8a89f492da95b7b2d7f2,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Basel-III-Disclosure-RIS,Regulation Impact Statement,PDF,13,,2026-05-24,131b165b718d50062d598599b5f6be388a349cbf513b8a89f492da95b7b2d7f2,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,CPG 230 Operational Risk Management PG,Prudential Practice Guide,PDF,22,,2026-05-24,4b6fab404e7acfca6f3ef31c3b349e7c8c30fcc20ef46a3116192710bedcd547,title:filename; type:filename,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,CPG 234 Information Security PG,Prudential Practice Guide,PDF,43,,2026-05-24,38116fa7dc9c103e9c3e8931df389bf002f7d878040cb2c11f175a18125635dd,title:filename; type:filename,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,CPS 230 Operational Risk Management,Prudential Standard,PDF,13,,2026-05-24,f296a7e0bead93df6d4ed0fcb242cb320501ccba18e014855516bd02656ecaec,title:filename; type:filename,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
