jurisdiction,issuing_body,source_collection,document_title,document_type,file_format,page_count,source_url,sha256,license_name,license_url
INT-FATF,Financial Action Task Force (FATF),FATF,BPP-Use-of-FATF-Recs-Corruption,FATF Recommendations,PDF,33,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/BPP-Use-of-FATF-Recs-Corruption.pdf,74a31abae3eadf0ef0c712ffc16ba10a8ee4c0d79247f73a4eb8e311f6fd2e28,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,FATF Recommendations 2012,FATF Recommendations,PDF,152,https://www.fatf-gafi.org/content/dam/fatf-gafi/recommendations/FATF%20Recommendations%202012.pdf.coredownload.inline.pdf,ba862e1f095bceac22ab9a48863e6e8238016a2ebd61c71718febb5c29c285ab,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-Correspondent-Banking-Services,FATF Recommendations,PDF,22,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-Correspondent-Banking-Services.pdf,08b3db1cc7362f2550d3ae3ffb02a5dfabcfed7fe3d7c6a4686de50667b59aff,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-Criminalising-Terrorist-Financing,FATF Recommendations,PDF,38,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-Criminalising-Terrorist-Financing.pdf,1393876621ff1b2dc3d4d855798cffe0e693d045165f9634ee31b01856528fdf,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-Proliferation-Financing-Risk-Assessment-Mitigation,FATF Recommendations,PDF,60,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-Proliferation-Financing-Risk-Assessment-Mitigation.pdf.coredownload.inline.pdf,5379257c52cfe120a4fe4df832d692b63ab07b38f44298f3af30b6c803558e20,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-RBA-NPPS,FATF Recommendations,PDF,47,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-RBA-NPPS.pdf.coredownload.pdf,fe52dd87e13dba41c57e61af99a8b3a49c37ccf7623b7f350946c1455ae3ed68,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-RBA-money-value-transfer-services,FATF Recommendations,PDF,71,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-RBA-money-value-transfer-services.pdf.coredownload.pdf,f916d87ae90e8ed39124a1ca26e7d6c344a4c2f2deef3b1e5a7354b61fea60f2,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-Risk-Based-Supervision,FATF Recommendations,PDF,104,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-Risk-Based-Supervision.pdf,dcbee7ab24bd0df29ca8c9d8cf8320f7b154e4fef8677a73a9fcc1117fe84542,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Guidance-on-Digital-Identity,FATF Recommendations,PDF,107,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Guidance-on-Digital-Identity.pdf.coredownload.pdf,5d489619a0fb9ecfe1d3c951f830508d77b40e13951ae456ab22bb73e710ac05,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Handout-5th-Round-Methodology,Mutual Evaluation Report,PDF,2,https://www.fatf-gafi.org/content/dam/fatf-gafi/methodology/Handout-5th-Round-Methodology.pdf,cf09c4d17a0ca8bb6d384cd97a4eecd019da87772698fe1dce1ebd0fa3d7b242,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
